Teaching evaluation data aggregated by department and broken down by sex, instructor type, and question Note: Only contains data from classes with enrollment of at least 40 (top quartile of class size)  If you are interested in viewing data for individual instructors or for individual courses, please reach out to Madeline Endres (endremad@umich.edu) and Westley Weimer (weimerw@umich.edu)												
Department of the data for any given row. See Sheet 2 for decoding these	Instructor Type: Professor, Not a Professer (e.g., TA), or All (Professor and Not a Professor) 	The sex of instructors in this row	The teaching evaluation question (or questions) considered in this row	The number of instructors aggregated in this row	Number of "Strong Disagree" ratings 	Number of "Disagree" ratings 	Number of "Neutral" ratings 	Number of "Agree" ratings 	Number of "Strong Agree" ratings 	Number of "Not Applicable" ratings 	Total number of ratings (not including NA ratings)	Average evaluation score for teachers aggregated in this row.  Note: Calculated by first calculating the score for each teacher using an Interpolated Median (http://aec.umich.edu/median.php). These scores are then averaged. Thus, this column will not equal the Interpolated Median of the raw data in columns SD-SA)
ENGR	Not a Professor	Female	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Male	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Female	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Male	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Female	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Male	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Female	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Male	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Female	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Male	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Female	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENGR	Not a Professor	Male	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	All	Male	All Questions	5	9	35	179	724	1223	45	2170	4.694014064
ENTR	Professor	Male	All Questions	5	9	35	179	724	1223	45	2170	4.694014064
ENTR	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	5	2	2	26	80	164	2	274	4.614702797
ENTR	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	5	2	2	26	80	164	2	274	4.614702797
ENTR	All	Male	My interest in the subject has increased because of this course.	5	3	10	34	96	131	3	274	4.600387894
ENTR	Professor	Male	My interest in the subject has increased because of this course.	5	3	10	34	96	131	3	274	4.600387894
ENTR	All	Male	Overall, the instructor was an excellent teacher.	5	2	7	21	99	141	7	270	4.620730471
ENTR	Professor	Male	Overall, the instructor was an excellent teacher.	5	2	7	21	99	141	7	270	4.620730471
ENTR	All	Male	Overall, this was an excellent course	5	1	7	30	101	136	3	275	4.537324169
ENTR	Professor	Male	Overall, this was an excellent course	5	1	7	30	101	136	3	275	4.537324169
ENTR	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	5	0	5	17	82	162	12	266	4.725690789
ENTR	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	5	0	5	17	82	162	12	266	4.725690789
ENTR	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	5	0	1	13	75	181	7	270	4.815332137
ENTR	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	5	0	1	13	75	181	7	270	4.815332137
ENTR	All	Male	The instructor treated students with respect.	5	0	1	9	70	187	7	267	4.855284513
ENTR	Professor	Male	The instructor treated students with respect.	5	0	1	9	70	187	7	267	4.855284513
ENTR	All	Male	This course advanced my understanding of the subject matter.	5	1	2	29	121	121	4	274	4.573023256
ENTR	Professor	Male	This course advanced my understanding of the subject matter.	5	1	2	29	121	121	4	274	4.573023256
ENTR	All	Female	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Female	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Professor	Female	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Male	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	All	Female	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Female	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Professor	Female	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Male	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	All	Female	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Female	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Professor	Female	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Male	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	All	Female	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Female	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Professor	Female	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Male	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	All	Female	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Female	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Professor	Female	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Male	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	All	Female	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Female	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Professor	Female	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENTR	Not a Professor	Male	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	All	Male	All Questions	2	42	99	225	464	772	8	1602	4.362284483
ENVIRON	Professor	Male	All Questions	2	42	99	225	464	772	8	1602	4.362284483
ENVIRON	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	2	6	11	29	62	92	1	200	4.286527887
ENVIRON	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	2	6	11	29	62	92	1	200	4.286527887
ENVIRON	All	Male	My interest in the subject has increased because of this course.	2	15	34	41	68	43	1	201	3.647926635
ENVIRON	Professor	Male	My interest in the subject has increased because of this course.	2	15	34	41	68	43	1	201	3.647926635
ENVIRON	All	Male	Overall, the instructor was an excellent teacher.	2	4	11	31	50	105	1	201	4.37552521
ENVIRON	Professor	Male	Overall, the instructor was an excellent teacher.	2	4	11	31	50	105	1	201	4.37552521
ENVIRON	All	Male	Overall, this was an excellent course	2	9	15	40	66	68	1	198	4.006685433
ENVIRON	Professor	Male	Overall, this was an excellent course	2	9	15	40	66	68	1	198	4.006685433
ENVIRON	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	3	16	24	52	106	1	201	4.379929431
ENVIRON	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	3	16	24	52	106	1	201	4.379929431
ENVIRON	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	0	1	14	39	147	1	201	4.80667789
ENVIRON	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	0	1	14	39	147	1	201	4.80667789
